Vehicles,Algorithm,Latency,Throughput,RSU/Edge Utilization
50,MOBILITY,12.683133118321043,3.1893203883495147,0.2386057173678533
50,DEADLINE,8.52563215081259,4.596008629989212,0.1355177993527508
50,PARTIAL,8.3143429894884,4.454153182308522,0.165722761596548
50,PROPOSED,7.080345876344816,4.624595469255664,0.4506472491909385
100,MOBILITY,12.515190946335771,3.5571736785329016,0.2532362459546926
100,DEADLINE,8.73673613407628,5.300431499460625,0.14954153182308524
100,PARTIAL,8.574444018686135,5.088457389428263,0.1811623516720604
100,PROPOSED,7.337937467786973,5.35329018338727,0.48678532901833876
200,MOBILITY,12.383261441379183,4.129989212513485,0.2740021574973031
200,DEADLINE,9.13089794798404,6.668824163969795,0.17624056094929882
200,PARTIAL,8.566682779670407,6.371089536138079,0.20395091693635384
200,PROPOSED,7.770310860009782,6.766450916936354,0.5464536138079827
400,MOBILITY,12.281650291317327,4.3646170442286945,0.2822950377562028
400,DEADLINE,9.070555744252825,7.214131607335491,0.18426375404530745
400,PARTIAL,8.526640951139148,6.820927723840345,0.21116504854368934
400,PROPOSED,7.861104523652835,7.282092772384035,0.5615560949298813
